Branch Name,Supplier Name,Received At,Inventory Item Name,Quantity,Cost Per Unit,Batch Number,Expiry Date,Invoice Number,Notes
Victoria Island,Continental Foods & Supplies,2024-01-01,Bottled Water 1.5L,147,306,,2025-05-01,INV-CON-00066,Event stock up
Lekki,Metro Wholesale Company,2024-01-03,Johnnie Walker Red Label 750ml,7,9919,BTH2024010044,2027-09-03,INV-MET-00055,Weekend preparation
Lekki,Premium Drinks Nigeria Ltd,2024-01-03,Fanta Orange 350ml,51,360,,2025-01-03,INV-PRE-00212,VIP event supplies
Lekki,Galaxy Beverages Distributors,2024-01-03,Johnnie Walker Red Label 750ml,18,12209,BTH2024010283,2027-02-03,INV-GAL-00330,Event stock up
Victoria Island,Metro Wholesale Company,2024-01-04,Sprite 350ml,114,361,BTH2024010341,2025-04-04,INV-MET-00396,Emergency restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-01-05,Star Lager Beer 600ml,97,615,BTH2024010055,2024-12-05,INV-PRE-00069,
Lekki,Continental Foods & Supplies,2024-01-05,Bombay Sapphire Gin 750ml,19,16233,BTH2024010349,2028-11-05,,Event stock up
Lekki,Continental Foods & Supplies,2024-01-06,Veuve Clicquot Champagne 750ml,6,63095,BTH2024010081,2027-03-06,,Weekend preparation
Lekki,Premium Drinks Nigeria Ltd,2024-01-08,Drinking Straws Pack 100,21,670,BTH2024010096,,INV-PRE-00119,
Victoria Island,Premium Drinks Nigeria Ltd,2024-01-08,Corona Beer 330ml,117,1277,,2024-08-08,INV-PRE-00218,Regular restock
Victoria Island,Galaxy Beverages Distributors,2024-01-08,Veuve Clicquot Champagne 750ml,11,56208,BTH2024010305,2028-08-08,,
Lekki,Continental Foods & Supplies,2024-01-09,Chivas Regal 12 Year 750ml,14,18949,,2027-09-09,INV-CON-00126,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-01-10,Bacardi White Rum 750ml,5,10832,BTH2024010062,2027-09-10,INV-PRE-00076,Promotional stock
Victoria Island,Metro Wholesale Company,2024-01-10,Cocktail Napkins Pack,27,1076,BTH2024010318,,,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-01-11,Smirnoff Vodka 750ml,3,8169,BTH2024010221,2028-10-11,INV-GAL-00267,
Lekki,Metro Wholesale Company,2024-01-11,Monster Energy Drink 500ml,8,1516,BTH2024010314,2025-09-11,INV-MET-00365,Weekend preparation
Lekki,Continental Foods & Supplies,2024-01-13,Red Bull Energy Drink 250ml,19,1371,,2025-01-13,,
Lekki,Premium Drinks Nigeria Ltd,2024-01-14,Cocktail Napkins Pack,25,1053,,,INV-PRE-00226,Emergency restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-01-14,Red Bull Energy Drink 250ml,16,1426,,2025-05-14,,Event stock up
Victoria Island,Continental Foods & Supplies,2024-01-15,Smirnoff Vodka 750ml,4,7440,,2028-12-15,INV-CON-00369,VIP event supplies
Lekki,Continental Foods & Supplies,2024-01-17,Bombay Sapphire Gin 750ml,19,20121,BTH2024010026,2028-05-17,INV-CON-00031,Monthly bulk order
Lekki,Continental Foods & Supplies,2024-01-18,Schweppes Soda Water 330ml,8,477,BTH2024010037,2025-04-18,,
Lekki,Continental Foods & Supplies,2024-01-18,Cocktail Napkins Pack,22,1086,,,INV-CON-00247,Holiday preparation
Victoria Island,Continental Foods & Supplies,2024-01-19,Guinness Stout 330ml,101,1007,,2024-10-19,INV-CON-00163,VIP event supplies
Victoria Island,Continental Foods & Supplies,2024-01-20,Jack Daniels 750ml,6,14931,BTH2024010070,2028-09-20,INV-CON-00086,
Victoria Island,Premium Drinks Nigeria Ltd,2024-01-20,Cranberry Juice 1L,9,2230,BTH2024010076,2024-11-20,INV-PRE-00096,
Lekki,Continental Foods & Supplies,2024-01-20,Johnnie Walker Red Label 750ml,20,9946,,2028-02-20,,Promotional stock
Victoria Island,Galaxy Beverages Distributors,2024-01-20,Star Lager Beer 600ml,30,674,BTH2024010335,2024-10-20,INV-GAL-00390,
Victoria Island,Premium Drinks Nigeria Ltd,2024-01-21,Jose Cuervo Tequila 750ml,20,15177,BTH2024010280,2027-02-21,INV-PRE-00327,Emergency restock
Lekki,Continental Foods & Supplies,2024-01-22,Jose Cuervo Tequila 750ml,16,16117,BTH2024010153,2028-09-22,INV-CON-00193,
Victoria Island,Metro Wholesale Company,2024-01-22,Guinness Stout 330ml,40,874,,2024-11-22,INV-MET-00194,Emergency restock
Victoria Island,Metro Wholesale Company,2024-01-23,Chivas Regal 12 Year 750ml,18,17282,BTH2024010141,2027-04-23,INV-MET-00182,Emergency restock
Lekki,Premium Drinks Nigeria Ltd,2024-01-23,Captain Morgan Spiced Rum 750ml,6,12547,BTH2024010164,2027-05-23,INV-PRE-00205,Weekend preparation
Victoria Island,Continental Foods & Supplies,2024-01-24,Budweiser Beer 330ml,120,810,BTH2024010030,2024-12-24,,
Victoria Island,Premium Drinks Nigeria Ltd,2024-01-24,Hennessy VS 750ml,6,29182,,2027-06-24,,Regular restock
Victoria Island,Continental Foods & Supplies,2024-01-24,Chivas Regal 12 Year 750ml,16,16255,BTH2024010295,2027-05-24,INV-CON-00342,VIP event supplies
Lekki,Continental Foods & Supplies,2024-01-24,Grey Goose Vodka 750ml,15,26213,BTH2024010316,2027-10-24,INV-CON-00368,
Victoria Island,Continental Foods & Supplies,2024-01-24,Star Lager Beer 600ml,98,577,,2024-08-24,INV-CON-00393,Monthly bulk order
Victoria Island,Galaxy Beverages Distributors,2024-01-25,Schweppes Tonic Water 330ml,14,593,BTH2024010306,2025-03-25,INV-GAL-00355,Holiday preparation
Victoria Island,Continental Foods & Supplies,2024-01-29,Bottled Water 1.5L,197,373,BTH2024010287,2025-03-01,,Promotional stock
Lekki,Continental Foods & Supplies,2024-01-30,Lime Fresh 1kg,23,1513,,,INV-CON-00043,
Lekki,Continental Foods & Supplies,2024-01-30,Ice Cubes 5kg Bag,29,1234,BTH2024010099,,INV-CON-00121,Monthly bulk order
Victoria Island,Premium Drinks Nigeria Ltd,2024-01-31,Schweppes Soda Water 330ml,3,434,BTH2024010092,2025-05-31,INV-PRE-00117,Emergency restock
Lekki,Premium Drinks Nigeria Ltd,2024-01-31,Fanta Orange 350ml,122,368,BTH2024010177,2025-07-01,INV-PRE-00220,Weekend preparation
Lekki,Metro Wholesale Company,2024-02-02,Ice Cubes 5kg Bag,36,1466,BTH2024020330,,INV-MET-00385,
Lekki,Metro Wholesale Company,2024-02-03,Moet Chandon Champagne 750ml,22,47754,BTH2024020040,2027-12-03,INV-MET-00048,
Victoria Island,Metro Wholesale Company,2024-02-04,Smirnoff Vodka 750ml,6,8705,BTH2024020122,2029-01-04,,Weekend preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-02-05,Johnnie Walker Black Label 750ml,10,20550,BTH2024020038,2027-11-05,INV-PRE-00044,
Victoria Island,Metro Wholesale Company,2024-02-05,Sprite 350ml,117,362,BTH2024020162,2025-11-05,,Weekend preparation
Lekki,Continental Foods & Supplies,2024-02-05,Veuve Clicquot Champagne 750ml,17,65719,BTH2024020229,2027-09-05,INV-CON-00276,Promotional stock
Victoria Island,Continental Foods & Supplies,2024-02-05,Schweppes Tonic Water 330ml,18,442,BTH2024020309,2025-02-05,INV-CON-00359,Regular restock
Victoria Island,Continental Foods & Supplies,2024-02-08,Bottled Water 500ml,65,186,BTH2024020014,2025-06-08,INV-CON-00018,
Victoria Island,Continental Foods & Supplies,2024-02-08,Captain Morgan Spiced Rum 750ml,15,10212,,2028-10-08,INV-CON-00093,
Lekki,Continental Foods & Supplies,2024-02-08,Pineapple Juice 1L,19,1691,BTH2024020182,2024-08-08,INV-CON-00225,
Victoria Island,Metro Wholesale Company,2024-02-09,Cocktail Napkins Pack,31,924,BTH2024020252,,,
Lekki,Galaxy Beverages Distributors,2024-02-09,Hennessy VS 750ml,14,28308,BTH2024020277,2028-08-09,,Event stock up
Victoria Island,Premium Drinks Nigeria Ltd,2024-02-11,Fanta Orange 350ml,84,355,,2025-10-11,INV-PRE-00336,VIP event supplies
Victoria Island,Metro Wholesale Company,2024-02-12,Grey Goose Vodka 750ml,14,29134,BTH2024020010,2027-08-12,,VIP event supplies
Victoria Island,Premium Drinks Nigeria Ltd,2024-02-12,Bacardi White Rum 750ml,18,9404,BTH2024020054,2028-04-12,INV-PRE-00067,Event stock up
Victoria Island,Metro Wholesale Company,2024-02-13,Jack Daniels 750ml,8,16432,BTH2024020117,2028-04-13,INV-MET-00146,Weekend preparation
Lekki,Continental Foods & Supplies,2024-02-14,Coca Cola 350ml,32,314,BTH2024020147,2025-04-14,,Regular restock
Lekki,Continental Foods & Supplies,2024-02-15,Bombay Sapphire Gin 750ml,12,17582,BTH2024020008,2028-11-15,INV-CON-00014,Promotional stock
Victoria Island,Continental Foods & Supplies,2024-02-17,Moet Chandon Champagne 750ml,22,61200,BTH2024020174,2028-06-17,,
Victoria Island,Metro Wholesale Company,2024-02-18,Cranberry Juice 1L,7,2255,BTH2024020094,2024-12-18,INV-MET-00118,Holiday preparation
Victoria Island,Continental Foods & Supplies,2024-02-19,Jose Cuervo Tequila 750ml,18,12720,,2029-01-19,INV-CON-00242,Weekend preparation
Victoria Island,Continental Foods & Supplies,2024-02-20,Johnnie Walker Black Label 750ml,3,17640,BTH2024020017,2028-10-20,INV-CON-00020,Promotional stock
Victoria Island,Metro Wholesale Company,2024-02-20,Drinking Straws Pack 100,25,749,,,INV-MET-00033,Weekend preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-02-20,Orange Juice 1L,16,1808,BTH2024020332,2024-08-20,INV-PRE-00386,
Victoria Island,Premium Drinks Nigeria Ltd,2024-02-21,Disposable Cups Pack 50,14,1578,BTH2024020148,,INV-PRE-00188,Emergency restock
Lekki,Metro Wholesale Company,2024-02-21,Captain Morgan Spiced Rum 750ml,17,10600,BTH2024020205,2028-07-21,INV-MET-00251,Promotional stock
Victoria Island,Galaxy Beverages Distributors,2024-02-22,Corona Beer 330ml,44,1046,BTH2024020317,2024-09-22,INV-GAL-00370,Weekend preparation
Victoria Island,Continental Foods & Supplies,2024-02-23,Patron Silver Tequila 750ml,15,40780,,2028-06-23,,
Lekki,Continental Foods & Supplies,2024-02-24,Coca Cola 350ml,71,325,BTH2024020063,2025-06-24,INV-CON-00077,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-02-24,Star Lager Beer 600ml,65,678,,2024-09-24,INV-GAL-00406,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-02-26,Johnnie Walker Red Label 750ml,3,10295,BTH2024020155,2027-10-26,INV-GAL-00196,Promotional stock
Victoria Island,Continental Foods & Supplies,2024-02-27,Bottled Water 1.5L,124,348,BTH2024020058,2025-07-27,INV-CON-00072,Holiday preparation
Victoria Island,Metro Wholesale Company,2024-02-28,Monster Energy Drink 500ml,5,1547,,2025-07-28,INV-MET-00087,Holiday preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-02-29,Red Bull Energy Drink 250ml,21,1337,BTH2024020244,2025-07-29,INV-PRE-00297,VIP event supplies
Victoria Island,Metro Wholesale Company,2024-03-01,Hennessy VS 750ml,15,32714,BTH2024030239,2027-05-01,INV-MET-00290,
Victoria Island,Galaxy Beverages Distributors,2024-03-02,Star Lager Beer 600ml,72,698,,2025-02-02,INV-GAL-00079,
Lekki,Continental Foods & Supplies,2024-03-02,Cranberry Juice 1L,9,2011,BTH2024030240,2024-10-02,INV-CON-00292,Regular restock
Victoria Island,Continental Foods & Supplies,2024-03-02,Absolut Vodka 750ml,11,12170,,2028-04-02,INV-CON-00295,
Victoria Island,Premium Drinks Nigeria Ltd,2024-03-03,Johnnie Walker Red Label 750ml,22,11623,BTH2024030034,2027-09-03,INV-PRE-00041,Holiday preparation
Lekki,Continental Foods & Supplies,2024-03-03,Hennessy VSOP 750ml,21,53658,,2027-06-03,INV-CON-00169,
Victoria Island,Galaxy Beverages Distributors,2024-03-03,Budweiser Beer 330ml,74,834,,2024-12-03,INV-GAL-00356,
Victoria Island,Galaxy Beverages Distributors,2024-03-03,Cocktail Napkins Pack,36,848,,,,Monthly bulk order
Victoria Island,Metro Wholesale Company,2024-03-07,Bacardi White Rum 750ml,22,9450,BTH2024030033,2027-06-07,INV-MET-00040,Monthly bulk order
Lekki,Premium Drinks Nigeria Ltd,2024-03-07,Jack Daniels 750ml,10,17622,,2028-08-07,INV-PRE-00113,
Lekki,Continental Foods & Supplies,2024-03-07,Veuve Clicquot Champagne 750ml,10,58115,,2028-06-07,INV-CON-00280,VIP event supplies
Lekki,Metro Wholesale Company,2024-03-07,Jack Daniels 750ml,19,17152,,2028-08-07,INV-MET-00381,
Victoria Island,Continental Foods & Supplies,2024-03-08,Bacardi White Rum 750ml,21,9373,BTH2024030271,2027-11-08,INV-CON-00322,
Lekki,Galaxy Beverages Distributors,2024-03-09,Absolut Vodka 750ml,12,10493,,2028-07-09,INV-GAL-00001,Regular restock
Victoria Island,Galaxy Beverages Distributors,2024-03-09,Cranberry Juice 1L,21,2166,,2024-09-09,INV-GAL-00004,
Lekki,Metro Wholesale Company,2024-03-09,Johnnie Walker Black Label 750ml,9,18205,BTH2024030053,2029-02-09,,Weekend preparation
Victoria Island,Continental Foods & Supplies,2024-03-09,Absolut Vodka 750ml,5,13262,,2028-05-09,INV-CON-00178,
Victoria Island,Galaxy Beverages Distributors,2024-03-10,Monster Energy Drink 500ml,4,1862,BTH2024030021,2025-07-10,INV-GAL-00024,Regular restock
Victoria Island,Galaxy Beverages Distributors,2024-03-11,Ciroc Vodka 750ml,9,24655,,2028-01-11,INV-GAL-00154,Holiday preparation
Lekki,Galaxy Beverages Distributors,2024-03-12,Fanta Orange 350ml,49,368,,2025-03-12,INV-GAL-00166,Monthly bulk order
Victoria Island,Premium Drinks Nigeria Ltd,2024-03-13,Disposable Cups Pack 50,16,1567,,,,Emergency restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-03-14,Corona Beer 330ml,70,1169,,2025-01-14,INV-PRE-00061,Regular restock
Lekki,Metro Wholesale Company,2024-03-14,Moet Chandon Champagne 750ml,6,51355,BTH2024030272,2028-01-14,,Holiday preparation
Lekki,Galaxy Beverages Distributors,2024-03-15,Pineapple Juice 1L,7,1837,BTH2024030121,2024-09-15,INV-GAL-00152,Holiday preparation
Victoria Island,Galaxy Beverages Distributors,2024-03-15,Jack Daniels 750ml,15,17510,BTH2024030350,2028-09-15,INV-GAL-00404,Promotional stock
Victoria Island,Continental Foods & Supplies,2024-03-16,Smirnoff Vodka 750ml,13,7778,BTH2024030012,2027-09-16,,
Lekki,Galaxy Beverages Distributors,2024-03-16,Bottled Water 500ml,81,215,BTH2024030039,2025-03-16,,Emergency restock
Victoria Island,Metro Wholesale Company,2024-03-17,Coca Cola 350ml,24,350,BTH2024030143,2025-03-17,INV-MET-00185,Emergency restock
Victoria Island,Galaxy Beverages Distributors,2024-03-17,Johnnie Walker Black Label 750ml,8,21620,,2027-11-17,INV-GAL-00227,
Lekki,Continental Foods & Supplies,2024-03-17,Lime Fresh 1kg,21,1646,BTH2024030223,,INV-CON-00268,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-03-17,Jack Daniels 750ml,8,17312,BTH2024030307,2027-06-17,INV-PRE-00357,
Lekki,Continental Foods & Supplies,2024-03-18,Johnnie Walker Red Label 750ml,6,10816,BTH2024030166,2028-08-18,INV-CON-00206,
Victoria Island,Premium Drinks Nigeria Ltd,2024-03-20,Jack Daniels 750ml,3,17643,,2028-08-20,INV-PRE-00145,Event stock up
Victoria Island,Metro Wholesale Company,2024-03-20,Gordon's Gin 750ml,10,7983,BTH2024030125,2027-06-20,INV-MET-00159,Weekend preparation
Victoria Island,Metro Wholesale Company,2024-03-21,Coca Cola 350ml,111,363,,2025-05-21,INV-MET-00213,VIP event supplies
Victoria Island,Premium Drinks Nigeria Ltd,2024-03-21,Corona Beer 330ml,106,1064,,2024-10-21,,Regular restock
Lekki,Premium Drinks Nigeria Ltd,2024-03-22,Fanta Orange 350ml,27,358,BTH2024030270,2025-09-22,INV-PRE-00321,
Lekki,Premium Drinks Nigeria Ltd,2024-03-25,Patron Silver Tequila 750ml,5,31803,BTH2024030114,2027-11-25,INV-PRE-00142,VIP event supplies
Lekki,Continental Foods & Supplies,2024-03-27,Star Lager Beer 600ml,35,728,BTH2024030027,2024-11-27,INV-CON-00032,Emergency restock
Lekki,Premium Drinks Nigeria Ltd,2024-03-27,Hennessy VS 750ml,4,28413,,2027-05-27,INV-PRE-00103,
Lekki,Continental Foods & Supplies,2024-03-28,Moet Chandon Champagne 750ml,4,59395,BTH2024030066,2028-12-28,INV-CON-00083,
Lekki,Metro Wholesale Company,2024-03-29,Johnnie Walker Black Label 750ml,11,23711,BTH2024030104,2027-12-29,INV-MET-00127,
Lekki,Galaxy Beverages Distributors,2024-03-29,Captain Morgan Spiced Rum 750ml,13,11113,,2028-06-29,,Regular restock
Lekki,Metro Wholesale Company,2024-03-29,Bottled Water 500ml,188,195,BTH2024030218,2025-04-29,,Regular restock
Lekki,Premium Drinks Nigeria Ltd,2024-03-29,Guinness Stout 330ml,28,857,,2024-10-29,INV-PRE-00363,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-03-30,Red Bull Energy Drink 250ml,9,1200,BTH2024030111,2025-12-30,INV-GAL-00135,
Lekki,Metro Wholesale Company,2024-03-31,Chivas Regal 12 Year 750ml,11,16985,BTH2024030211,2028-08-31,INV-MET-00259,Emergency restock
Lekki,Metro Wholesale Company,2024-03-31,Chivas Regal 12 Year 750ml,10,18449,,2028-10-01,INV-MET-00331,Holiday preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-04-01,Ciroc Vodka 750ml,16,26126,BTH2024040060,2028-01-01,INV-PRE-00074,VIP event supplies
Victoria Island,Galaxy Beverages Distributors,2024-04-01,Smirnoff Vodka 750ml,4,6860,,2029-02-01,,Event stock up
Lekki,Galaxy Beverages Distributors,2024-04-01,Johnnie Walker Black Label 750ml,12,18489,,2027-10-01,INV-GAL-00274,Holiday preparation
Victoria Island,Galaxy Beverages Distributors,2024-04-03,Jack Daniels 750ml,19,13876,,2028-07-03,INV-GAL-00115,Promotional stock
Lekki,Premium Drinks Nigeria Ltd,2024-04-03,Ciroc Vodka 750ml,12,19442,BTH2024040326,2028-04-03,INV-PRE-00379,
Lekki,Premium Drinks Nigeria Ltd,2024-04-04,Heineken Beer 330ml,54,969,BTH2024040118,2025-01-04,INV-PRE-00149,
Victoria Island,Metro Wholesale Company,2024-04-04,Jose Cuervo Tequila 750ml,11,16490,BTH2024040329,2027-11-04,INV-MET-00383,
Victoria Island,Metro Wholesale Company,2024-04-05,Budweiser Beer 330ml,88,859,BTH2024040011,2025-02-05,INV-MET-00016,
Victoria Island,Premium Drinks Nigeria Ltd,2024-04-05,Patron Silver Tequila 750ml,20,34729,BTH2024040133,2028-09-05,INV-PRE-00170,
Victoria Island,Premium Drinks Nigeria Ltd,2024-04-05,Lime Fresh 1kg,27,1684,,,INV-PRE-00332,
Lekki,Continental Foods & Supplies,2024-04-07,Jack Daniels 750ml,22,14942,BTH2024040131,2028-07-07,INV-CON-00167,Holiday preparation
Lekki,Galaxy Beverages Distributors,2024-04-08,Chivas Regal 12 Year 750ml,4,16832,BTH2024040126,2028-08-08,INV-GAL-00160,Regular restock
Victoria Island,Continental Foods & Supplies,2024-04-08,Schweppes Soda Water 330ml,18,409,BTH2024040134,2025-07-08,,Holiday preparation
Victoria Island,Continental Foods & Supplies,2024-04-09,Coca Cola 350ml,56,332,,2025-04-09,INV-CON-00137,
Lekki,Continental Foods & Supplies,2024-04-09,Drinking Straws Pack 100,33,720,BTH2024040124,,INV-CON-00158,Monthly bulk order
Lekki,Galaxy Beverages Distributors,2024-04-10,Guinness Stout 330ml,71,1105,BTH2024040224,2025-02-10,INV-GAL-00270,
Lekki,Metro Wholesale Company,2024-04-11,Bottled Water 500ml,211,174,,2026-01-11,,
Victoria Island,Metro Wholesale Company,2024-04-11,Jack Daniels 750ml,9,14881,BTH2024040213,2028-02-11,,Weekend preparation
Lekki,Metro Wholesale Company,2024-04-12,Ice Cubes 5kg Bag,16,1495,,,,Event stock up
Lekki,Continental Foods & Supplies,2024-04-12,Corona Beer 330ml,93,1161,BTH2024040304,2025-02-12,INV-CON-00353,Monthly bulk order
Lekki,Premium Drinks Nigeria Ltd,2024-04-13,Budweiser Beer 330ml,118,876,BTH2024040197,2025-01-13,INV-PRE-00246,Regular restock
Victoria Island,Continental Foods & Supplies,2024-04-14,Hennessy VS 750ml,13,29245,BTH2024040228,2028-04-14,INV-CON-00275,
Victoria Island,Metro Wholesale Company,2024-04-14,Guinness Stout 330ml,93,1056,BTH2024040344,2025-01-14,,
Victoria Island,Premium Drinks Nigeria Ltd,2024-04-15,Hennessy VS 750ml,5,32683,BTH2024040015,2029-01-15,INV-PRE-00019,Holiday preparation
Lekki,Galaxy Beverages Distributors,2024-04-15,Veuve Clicquot Champagne 750ml,18,68364,BTH2024040090,2028-08-15,,
Victoria Island,Galaxy Beverages Distributors,2024-04-17,Pineapple Juice 1L,15,2183,BTH2024040005,2024-12-17,INV-GAL-00009,VIP event supplies
Lekki,Galaxy Beverages Distributors,2024-04-17,Schweppes Soda Water 330ml,20,386,BTH2024040299,2025-06-17,INV-GAL-00347,Weekend preparation
Lekki,Continental Foods & Supplies,2024-04-18,Coca Cola 350ml,74,294,BTH2024040013,2026-02-18,INV-CON-00017,
Lekki,Premium Drinks Nigeria Ltd,2024-04-18,Monster Energy Drink 500ml,4,1487,BTH2024040199,2025-07-18,INV-PRE-00249,
Victoria Island,Continental Foods & Supplies,2024-04-18,Schweppes Soda Water 330ml,12,440,,2025-09-18,INV-CON-00401,Monthly bulk order
Lekki,Galaxy Beverages Distributors,2024-04-19,Heineken Beer 330ml,83,866,,2025-02-19,INV-GAL-00147,
Lekki,Metro Wholesale Company,2024-04-20,Heineken Beer 330ml,54,1020,BTH2024040321,2025-01-20,INV-MET-00374,
Victoria Island,Continental Foods & Supplies,2024-04-21,Cranberry Juice 1L,3,2188,BTH2024040343,2024-12-21,INV-CON-00397,
Victoria Island,Metro Wholesale Company,2024-04-22,Ice Cubes 5kg Bag,19,1247,,,INV-MET-00217,
Victoria Island,Metro Wholesale Company,2024-04-23,Patron Silver Tequila 750ml,3,32954,BTH2024040018,2028-06-23,INV-MET-00021,Holiday preparation
Victoria Island,Metro Wholesale Company,2024-04-23,Grey Goose Vodka 750ml,3,30484,BTH2024040079,2028-12-23,INV-MET-00099,
Lekki,Premium Drinks Nigeria Ltd,2024-04-23,Schweppes Tonic Water 330ml,16,543,,2025-09-23,INV-PRE-00371,Monthly bulk order
Victoria Island,Continental Foods & Supplies,2024-04-25,Ice Cubes 5kg Bag,32,1282,BTH2024040233,,INV-CON-00279,
Victoria Island,Metro Wholesale Company,2024-04-26,Disposable Cups Pack 50,20,1648,BTH2024040047,,INV-MET-00059,Regular restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-04-26,Orange Juice 1L,16,2062,,2025-02-26,INV-PRE-00285,Holiday preparation
Victoria Island,Galaxy Beverages Distributors,2024-04-27,Bottled Water 1.5L,157,333,BTH2024040048,2026-01-27,INV-GAL-00060,Emergency restock
Victoria Island,Continental Foods & Supplies,2024-04-27,Disposable Cups Pack 50,15,1380,BTH2024040348,,INV-CON-00403,
Lekki,Premium Drinks Nigeria Ltd,2024-04-29,Disposable Cups Pack 50,13,1844,,,,
Lekki,Galaxy Beverages Distributors,2024-04-30,Sprite 350ml,121,304,BTH2024040263,2025-04-30,INV-GAL-00315,Emergency restock
Lekki,Continental Foods & Supplies,2024-05-01,Grey Goose Vodka 750ml,14,24359,,2028-04-01,INV-CON-00081,
Victoria Island,Premium Drinks Nigeria Ltd,2024-05-01,Johnnie Walker Red Label 750ml,7,12409,BTH2024050285,2028-03-01,,Emergency restock
