Branch Name,Supplier Name,Received At,Inventory Item Name,Quantity,Cost Per Unit,Batch Number,Expiry Date,Invoice Number,Notes
Victoria Island,Continental Foods & Supplies,2024-05-02,Monster Energy Drink 500ml,22,1738,BTH2024050150,2025-05-02,INV-CON-00190,Promotional stock
Lekki,Galaxy Beverages Distributors,2024-05-02,Captain Morgan Spiced Rum 750ml,17,11992,BTH2024050171,2028-10-02,INV-GAL-00211,
Victoria Island,Metro Wholesale Company,2024-05-02,Red Bull Energy Drink 250ml,19,1194,,2025-11-02,INV-MET-00384,Weekend preparation
Lekki,Metro Wholesale Company,2024-05-03,Heineken Beer 330ml,97,879,BTH2024050158,2025-04-03,INV-MET-00199,
Victoria Island,Premium Drinks Nigeria Ltd,2024-05-04,Lime Fresh 1kg,25,1502,,,INV-PRE-00090,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-05-04,Coca Cola 350ml,88,313,BTH2024050310,2025-05-04,INV-GAL-00360,Event stock up
Lekki,Galaxy Beverages Distributors,2024-05-05,Cranberry Juice 1L,17,1988,BTH2024050193,2025-01-05,INV-GAL-00239,Event stock up
Victoria Island,Galaxy Beverages Distributors,2024-05-06,Absolut Vodka 750ml,13,10817,,2028-03-06,INV-GAL-00007,Event stock up
Victoria Island,Premium Drinks Nigeria Ltd,2024-05-06,Lime Fresh 1kg,36,1740,BTH2024050051,,,Weekend preparation
Lekki,Continental Foods & Supplies,2024-05-06,Cranberry Juice 1L,7,1947,BTH2024050180,2025-01-06,INV-CON-00223,
Victoria Island,Galaxy Beverages Distributors,2024-05-07,Ice Cubes 5kg Bag,31,1466,,,,Holiday preparation
Victoria Island,Continental Foods & Supplies,2024-05-08,Coca Cola 350ml,35,369,BTH2024050142,2026-01-08,INV-CON-00183,Holiday preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-05-11,Jack Daniels 750ml,10,17720,,2028-12-11,INV-PRE-00150,
Lekki,Metro Wholesale Company,2024-05-13,Fanta Orange 350ml,32,290,BTH2024050031,2026-01-13,INV-MET-00038,
Lekki,Galaxy Beverages Distributors,2024-05-13,Bombay Sapphire Gin 750ml,18,15460,,2028-09-13,INV-GAL-00049,Monthly bulk order
Lekki,Premium Drinks Nigeria Ltd,2024-05-13,Grey Goose Vodka 750ml,17,30254,BTH2024050339,2029-02-13,INV-PRE-00394,
Lekki,Continental Foods & Supplies,2024-05-14,Disposable Cups Pack 50,21,1799,,,,Event stock up
Lekki,Metro Wholesale Company,2024-05-20,Sprite 350ml,37,356,BTH2024050300,2026-01-20,INV-MET-00348,Monthly bulk order
Victoria Island,Continental Foods & Supplies,2024-05-20,Chivas Regal 12 Year 750ml,21,20943,BTH2024050337,2027-08-20,INV-CON-00391,
Lekki,Metro Wholesale Company,2024-05-21,Veuve Clicquot Champagne 750ml,8,53366,,2028-02-21,INV-MET-00097,Event stock up
Victoria Island,Metro Wholesale Company,2024-05-21,Fanta Orange 350ml,45,282,,2025-06-21,INV-MET-00228,Monthly bulk order
Victoria Island,Continental Foods & Supplies,2024-05-22,Heineken Beer 330ml,40,890,BTH2024050059,2025-03-22,INV-CON-00073,VIP event supplies
Lekki,Continental Foods & Supplies,2024-05-22,Red Bull Energy Drink 250ml,11,1415,BTH2024050200,2025-10-22,,Emergency restock
Lekki,Continental Foods & Supplies,2024-05-22,Bacardi White Rum 750ml,6,10954,BTH2024050242,2027-07-22,INV-CON-00294,
Victoria Island,Galaxy Beverages Distributors,2024-05-23,Grey Goose Vodka 750ml,6,29190,BTH2024050189,2027-08-23,INV-GAL-00235,Weekend preparation
Lekki,Metro Wholesale Company,2024-05-23,Absolut Vodka 750ml,7,12348,BTH2024050203,2028-03-23,,VIP event supplies
Victoria Island,Galaxy Beverages Distributors,2024-05-23,Budweiser Beer 330ml,41,823,BTH2024050284,2025-03-23,,Regular restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-05-23,Hennessy VSOP 750ml,21,53280,BTH2024050291,2029-04-23,INV-PRE-00339,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-05-24,Grey Goose Vodka 750ml,13,27065,BTH2024050112,2027-06-24,INV-PRE-00139,Promotional stock
Victoria Island,Premium Drinks Nigeria Ltd,2024-05-24,Drinking Straws Pack 100,31,667,,,INV-PRE-00153,
Lekki,Galaxy Beverages Distributors,2024-05-25,Cocktail Napkins Pack,25,865,BTH2024050103,,INV-GAL-00124,Emergency restock
Lekki,Premium Drinks Nigeria Ltd,2024-05-25,Hennessy VS 750ml,20,31796,BTH2024050106,2029-02-25,INV-PRE-00130,VIP event supplies
Victoria Island,Metro Wholesale Company,2024-05-25,Johnnie Walker Black Label 750ml,9,19960,,2028-04-25,INV-MET-00173,
Victoria Island,Premium Drinks Nigeria Ltd,2024-05-26,Pineapple Juice 1L,7,2083,BTH2024050226,2025-03-26,,Weekend preparation
Victoria Island,Continental Foods & Supplies,2024-05-26,Schweppes Tonic Water 330ml,11,450,BTH2024050328,2025-06-26,INV-CON-00382,Monthly bulk order
Lekki,Galaxy Beverages Distributors,2024-05-27,Patron Silver Tequila 750ml,19,34551,BTH2024050068,2027-08-27,,Event stock up
Lekki,Metro Wholesale Company,2024-05-28,Guinness Stout 330ml,26,874,,2024-12-28,INV-MET-00101,
Lekki,Continental Foods & Supplies,2024-05-29,Veuve Clicquot Champagne 750ml,7,55389,BTH2024050188,2027-05-29,INV-CON-00234,
Victoria Island,Galaxy Beverages Distributors,2024-05-29,Hennessy VS 750ml,8,29552,,2029-03-29,INV-GAL-00310,
Lekki,Metro Wholesale Company,2024-05-31,Cocktail Napkins Pack,29,972,,,INV-MET-00272,Regular restock
Lekki,Galaxy Beverages Distributors,2024-05-31,Veuve Clicquot Champagne 750ml,10,56504,,2028-05-01,INV-GAL-00343,
Victoria Island,Galaxy Beverages Distributors,2024-06-02,Moet Chandon Champagne 750ml,13,63737,BTH2024060042,2028-03-02,INV-GAL-00053,
Lekki,Galaxy Beverages Distributors,2024-06-02,Ciroc Vodka 750ml,14,22064,BTH2024060077,2027-08-02,INV-GAL-00098,
Victoria Island,Continental Foods & Supplies,2024-06-03,Bacardi White Rum 750ml,14,9842,,2028-06-03,INV-CON-00265,
Lekki,Premium Drinks Nigeria Ltd,2024-06-05,Ciroc Vodka 750ml,5,25605,,2029-02-05,INV-PRE-00136,Holiday preparation
Victoria Island,Continental Foods & Supplies,2024-06-06,Hennessy VSOP 750ml,21,52927,BTH2024060208,2028-04-06,INV-CON-00255,Promotional stock
Victoria Island,Metro Wholesale Company,2024-06-09,Jose Cuervo Tequila 750ml,11,14693,,2028-12-09,INV-MET-00157,
Lekki,Continental Foods & Supplies,2024-06-10,Ice Cubes 5kg Bag,12,1173,,,INV-CON-00302,
Victoria Island,Galaxy Beverages Distributors,2024-06-11,Drinking Straws Pack 100,37,694,BTH2024060137,,INV-GAL-00177,
Victoria Island,Galaxy Beverages Distributors,2024-06-11,Moet Chandon Champagne 750ml,3,54787,,2029-04-11,INV-GAL-00333,
Lekki,Continental Foods & Supplies,2024-06-11,Bottled Water 1.5L,160,317,BTH2024060322,2025-09-11,INV-CON-00375,
Lekki,Metro Wholesale Company,2024-06-12,Schweppes Soda Water 330ml,19,464,BTH2024060231,2025-09-12,,Weekend preparation
Lekki,Galaxy Beverages Distributors,2024-06-12,Fanta Orange 350ml,80,315,BTH2024060346,2026-05-12,INV-GAL-00400,Event stock up
Victoria Island,Continental Foods & Supplies,2024-06-13,Bombay Sapphire Gin 750ml,18,17641,BTH2024060256,2028-06-13,INV-CON-00308,
Lekki,Galaxy Beverages Distributors,2024-06-14,Hennessy VS 750ml,5,28892,,2028-11-14,INV-GAL-00047,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-06-14,Grey Goose Vodka 750ml,17,30107,,2029-04-14,INV-PRE-00291,Weekend preparation
Victoria Island,Metro Wholesale Company,2024-06-14,Moet Chandon Champagne 750ml,9,48217,,2028-09-14,INV-MET-00409,Regular restock
Victoria Island,Metro Wholesale Company,2024-06-15,Orange Juice 1L,22,2093,,2025-04-15,INV-MET-00176,Emergency restock
Victoria Island,Metro Wholesale Company,2024-06-15,Schweppes Soda Water 330ml,17,493,BTH2024060190,2025-10-15,INV-MET-00236,Weekend preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-06-16,Sprite 350ml,55,328,BTH2024060324,2026-01-16,,
Lekki,Continental Foods & Supplies,2024-06-16,Disposable Cups Pack 50,10,1396,BTH2024060351,,INV-CON-00407,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-06-17,Bacardi White Rum 750ml,12,10135,,2028-04-17,INV-GAL-00006,
Victoria Island,Galaxy Beverages Distributors,2024-06-17,Schweppes Soda Water 330ml,18,491,BTH2024060292,2025-10-17,INV-GAL-00340,
Lekki,Continental Foods & Supplies,2024-06-18,Bottled Water 1.5L,205,355,BTH2024060178,2026-03-18,INV-CON-00221,Monthly bulk order
Lekki,Galaxy Beverages Distributors,2024-06-19,Veuve Clicquot Champagne 750ml,19,64572,BTH2024060206,2028-10-19,INV-GAL-00252,Holiday preparation
Lekki,Galaxy Beverages Distributors,2024-06-19,Patron Silver Tequila 750ml,17,35698,BTH2024060246,2028-01-19,INV-GAL-00299,
Victoria Island,Metro Wholesale Company,2024-06-21,Patron Silver Tequila 750ml,5,32823,,2027-10-21,INV-MET-00029,VIP event supplies
Victoria Island,Continental Foods & Supplies,2024-06-21,Hennessy VSOP 750ml,13,50826,BTH2024060333,2028-09-21,INV-CON-00388,Monthly bulk order
Lekki,Continental Foods & Supplies,2024-06-22,Cranberry Juice 1L,16,1967,BTH2024060159,2025-04-22,INV-CON-00200,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-06-22,Bottled Water 500ml,183,171,BTH2024060201,2025-09-22,,Promotional stock
Lekki,Continental Foods & Supplies,2024-06-22,Chivas Regal 12 Year 750ml,10,17509,BTH2024060323,2027-08-22,INV-CON-00376,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-06-23,Moet Chandon Champagne 750ml,3,61471,BTH2024060086,2028-05-23,INV-PRE-00110,
Victoria Island,Premium Drinks Nigeria Ltd,2024-06-23,Chivas Regal 12 Year 750ml,11,17101,,2028-02-23,INV-PRE-00254,Holiday preparation
Victoria Island,Galaxy Beverages Distributors,2024-06-24,Bottled Water 500ml,161,195,,2025-10-24,,
Lekki,Continental Foods & Supplies,2024-06-25,Cranberry Juice 1L,16,2589,BTH2024060170,2025-05-25,INV-CON-00210,Holiday preparation
Victoria Island,Continental Foods & Supplies,2024-06-26,Budweiser Beer 330ml,43,763,,2025-03-26,INV-CON-00104,Weekend preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-06-26,Heineken Beer 330ml,122,1094,BTH2024060296,2025-05-26,INV-PRE-00344,VIP event supplies
Lekki,Metro Wholesale Company,2024-06-27,Bottled Water 500ml,163,181,,2025-12-27,INV-MET-00023,
Victoria Island,Metro Wholesale Company,2024-06-27,Hennessy VS 750ml,11,29194,BTH2024060253,2027-09-27,INV-MET-00304,
Victoria Island,Premium Drinks Nigeria Ltd,2024-06-27,Absolut Vodka 750ml,19,10214,,2029-02-27,INV-PRE-00411,Regular restock
Lekki,Metro Wholesale Company,2024-06-28,Cocktail Napkins Pack,13,1052,BTH2024060123,,INV-MET-00156,Regular restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-06-29,Captain Morgan Spiced Rum 750ml,13,12225,BTH2024060302,2027-07-29,INV-PRE-00351,Emergency restock
Lekki,Galaxy Beverages Distributors,2024-06-30,Bottled Water 500ml,91,170,BTH2024060001,2025-06-30,INV-GAL-00002,Weekend preparation
Victoria Island,Metro Wholesale Company,2024-06-30,Johnnie Walker Red Label 750ml,4,10469,BTH2024060327,2028-01-30,INV-MET-00380,Emergency restock
Lekki,Continental Foods & Supplies,2024-07-01,Sprite 350ml,89,368,,2026-01-01,INV-CON-00283,Promotional stock
Victoria Island,Metro Wholesale Company,2024-07-02,Bacardi White Rum 750ml,12,10796,BTH2024070313,2028-09-02,INV-MET-00364,
Lekki,Metro Wholesale Company,2024-07-03,Ciroc Vodka 750ml,15,20226,BTH2024070025,2028-09-03,,Weekend preparation
Lekki,Galaxy Beverages Distributors,2024-07-03,Grey Goose Vodka 750ml,6,30883,BTH2024070184,2029-06-03,INV-GAL-00230,Event stock up
Victoria Island,Metro Wholesale Company,2024-07-05,Cocktail Napkins Pack,27,853,BTH2024070036,,,Promotional stock
Victoria Island,Continental Foods & Supplies,2024-07-05,Patron Silver Tequila 750ml,19,34782,BTH2024070108,2027-10-05,INV-CON-00132,
Victoria Island,Premium Drinks Nigeria Ltd,2024-07-05,Absolut Vodka 750ml,18,12994,BTH2024070186,2027-11-05,INV-PRE-00232,Monthly bulk order
Lekki,Continental Foods & Supplies,2024-07-05,Grey Goose Vodka 750ml,22,30192,,2028-10-05,INV-CON-00281,VIP event supplies
Victoria Island,Metro Wholesale Company,2024-07-06,Schweppes Soda Water 330ml,10,437,BTH2024070016,2025-12-06,,
Victoria Island,Premium Drinks Nigeria Ltd,2024-07-06,Pineapple Juice 1L,15,2072,BTH2024070331,2025-02-06,,Weekend preparation
Lekki,Premium Drinks Nigeria Ltd,2024-07-08,Sprite 350ml,29,338,BTH2024070003,2025-12-08,INV-PRE-00005,Promotional stock
Victoria Island,Galaxy Beverages Distributors,2024-07-09,Bacardi White Rum 750ml,18,9266,BTH2024070028,2028-06-09,INV-GAL-00034,Regular restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-07-09,Hennessy VSOP 750ml,17,48047,,2029-03-09,INV-PRE-00175,Monthly bulk order
Lekki,Continental Foods & Supplies,2024-07-10,Disposable Cups Pack 50,24,1467,BTH2024070168,,INV-CON-00208,Holiday preparation
Victoria Island,Metro Wholesale Company,2024-07-10,Absolut Vodka 750ml,11,9979,BTH2024070243,2029-01-10,INV-MET-00296,VIP event supplies
Victoria Island,Premium Drinks Nigeria Ltd,2024-07-10,Johnnie Walker Red Label 750ml,22,12619,BTH2024070352,2027-12-10,INV-PRE-00410,Regular restock
Lekki,Metro Wholesale Company,2024-07-11,Bottled Water 1.5L,98,292,BTH2024070029,2025-09-11,INV-MET-00037,
Lekki,Galaxy Beverages Distributors,2024-07-12,Jack Daniels 750ml,13,18182,BTH2024070334,2027-12-12,INV-GAL-00389,
Victoria Island,Metro Wholesale Company,2024-07-14,Bombay Sapphire Gin 750ml,8,19077,BTH2024070041,2028-12-14,INV-MET-00050,
Lekki,Premium Drinks Nigeria Ltd,2024-07-14,Star Lager Beer 600ml,48,668,,2025-01-14,,Promotional stock
Victoria Island,Metro Wholesale Company,2024-07-14,Pineapple Juice 1L,5,1761,BTH2024070169,2025-04-14,,
Victoria Island,Continental Foods & Supplies,2024-07-14,Budweiser Beer 330ml,51,829,BTH2024070259,2025-04-14,INV-CON-00311,Monthly bulk order
Lekki,Galaxy Beverages Distributors,2024-07-14,Star Lager Beer 600ml,100,562,BTH2024070288,2025-06-14,INV-GAL-00335,VIP event supplies
Victoria Island,Premium Drinks Nigeria Ltd,2024-07-15,Red Bull Energy Drink 250ml,5,1167,BTH2024070035,2025-11-15,INV-PRE-00042,Promotional stock
Victoria Island,Continental Foods & Supplies,2024-07-17,Moet Chandon Champagne 750ml,5,62076,BTH2024070052,2028-07-17,INV-CON-00064,
Victoria Island,Premium Drinks Nigeria Ltd,2024-07-18,Moet Chandon Champagne 750ml,8,51846,BTH2024070080,2029-05-18,INV-PRE-00102,Holiday preparation
Victoria Island,Galaxy Beverages Distributors,2024-07-20,Smirnoff Vodka 750ml,20,6865,,2027-10-20,INV-GAL-00095,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-07-20,Hennessy VSOP 750ml,12,47312,,2028-08-20,,Emergency restock
Victoria Island,Continental Foods & Supplies,2024-07-21,Lime Fresh 1kg,14,1548,BTH2024070116,,INV-CON-00144,Holiday preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-07-22,Gordon's Gin 750ml,13,8677,BTH2024070273,2028-09-22,INV-PRE-00323,Event stock up
Lekki,Galaxy Beverages Distributors,2024-07-22,Star Lager Beer 600ml,29,566,,2025-03-22,INV-GAL-00405,Emergency restock
Lekki,Continental Foods & Supplies,2024-07-23,Lime Fresh 1kg,21,1599,BTH2024070023,,INV-CON-00026,Holiday preparation
Lekki,Continental Foods & Supplies,2024-07-23,Smirnoff Vodka 750ml,11,6696,BTH2024070127,2029-02-23,INV-CON-00161,
Victoria Island,Galaxy Beverages Distributors,2024-07-24,Cocktail Napkins Pack,24,1005,,,INV-GAL-00316,Regular restock
Victoria Island,Galaxy Beverages Distributors,2024-07-25,Coca Cola 350ml,37,279,,2025-09-25,,Emergency restock
Lekki,Continental Foods & Supplies,2024-07-25,Grey Goose Vodka 750ml,19,25838,BTH2024070308,2028-10-25,,
Victoria Island,Premium Drinks Nigeria Ltd,2024-07-26,Ice Cubes 5kg Bag,11,1247,BTH2024070095,,,VIP event supplies
Lekki,Metro Wholesale Company,2024-07-27,Pineapple Juice 1L,17,1781,BTH2024070209,2025-06-27,INV-MET-00256,
Victoria Island,Premium Drinks Nigeria Ltd,2024-07-27,Johnnie Walker Red Label 750ml,8,10453,BTH2024070248,2027-09-27,INV-PRE-00301,Regular restock
Victoria Island,Continental Foods & Supplies,2024-07-29,Captain Morgan Spiced Rum 750ml,12,10275,BTH2024070050,2028-02-29,INV-CON-00063,
Victoria Island,Continental Foods & Supplies,2024-07-29,Budweiser Beer 330ml,82,788,BTH2024070267,2025-01-29,INV-CON-00319,Emergency restock
Lekki,Metro Wholesale Company,2024-07-31,Drinking Straws Pack 100,10,596,,,INV-MET-00052,
Lekki,Galaxy Beverages Distributors,2024-08-01,Coca Cola 350ml,52,321,,2026-03-01,INV-GAL-00377,VIP event supplies
Lekki,Galaxy Beverages Distributors,2024-08-02,Johnnie Walker Red Label 750ml,18,12307,BTH2024080172,2028-09-02,INV-GAL-00215,
Victoria Island,Metro Wholesale Company,2024-08-02,Guinness Stout 330ml,55,877,,2025-06-02,INV-MET-00358,Promotional stock
Victoria Island,Metro Wholesale Company,2024-08-03,Heineken Beer 330ml,112,954,,2025-06-03,INV-MET-00105,Holiday preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-08-03,Cranberry Juice 1L,9,2384,BTH2024080219,2025-05-03,,VIP event supplies
Lekki,Metro Wholesale Company,2024-08-04,Cranberry Juice 1L,20,2126,BTH2024080105,2025-07-04,INV-MET-00128,
Victoria Island,Continental Foods & Supplies,2024-08-04,Disposable Cups Pack 50,32,1584,BTH2024080312,,INV-CON-00362,Regular restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-08-05,Smirnoff Vodka 750ml,7,7309,BTH2024080149,2028-04-05,INV-PRE-00189,VIP event supplies
Victoria Island,Galaxy Beverages Distributors,2024-08-05,Heineken Beer 330ml,83,828,,2025-06-05,INV-GAL-00349,Holiday preparation
Victoria Island,Metro Wholesale Company,2024-08-06,Ice Cubes 5kg Bag,35,1295,BTH2024080084,,,
Victoria Island,Galaxy Beverages Distributors,2024-08-06,Heineken Beer 330ml,77,992,BTH2024080222,2025-02-06,,VIP event supplies
Lekki,Galaxy Beverages Distributors,2024-08-08,Gordon's Gin 750ml,20,9873,,2027-10-08,INV-GAL-00035,Regular restock
Lekki,Galaxy Beverages Distributors,2024-08-08,Corona Beer 330ml,44,1080,BTH2024080071,2025-05-08,INV-GAL-00088,
Lekki,Continental Foods & Supplies,2024-08-09,Schweppes Tonic Water 330ml,13,482,,2025-10-09,INV-CON-00068,
Lekki,Galaxy Beverages Distributors,2024-08-10,Sprite 350ml,100,348,BTH2024080065,2025-12-10,INV-GAL-00082,Regular restock
Lekki,Galaxy Beverages Distributors,2024-08-10,Schweppes Tonic Water 330ml,18,469,BTH2024080088,2025-09-10,INV-GAL-00112,
Victoria Island,Galaxy Beverages Distributors,2024-08-10,Heineken Beer 330ml,28,849,BTH2024080215,2025-02-10,INV-GAL-00262,
Lekki,Galaxy Beverages Distributors,2024-08-11,Cocktail Napkins Pack,24,911,BTH2024080043,,,Event stock up
Lekki,Galaxy Beverages Distributors,2024-08-11,Ice Cubes 5kg Bag,17,1378,BTH2024080056,,INV-GAL-00070,Weekend preparation
Victoria Island,Metro Wholesale Company,2024-08-12,Captain Morgan Spiced Rum 750ml,10,10602,BTH2024080009,2028-12-12,INV-MET-00015,
Lekki,Continental Foods & Supplies,2024-08-12,Johnnie Walker Red Label 750ml,22,12066,,2027-09-12,INV-CON-00051,VIP event supplies
Lekki,Continental Foods & Supplies,2024-08-13,Hennessy VSOP 750ml,5,55645,BTH2024080136,2028-07-13,INV-CON-00174,Promotional stock
Lekki,Galaxy Beverages Distributors,2024-08-14,Lime Fresh 1kg,31,1671,BTH2024080202,,INV-GAL-00250,Monthly bulk order
Victoria Island,Continental Foods & Supplies,2024-08-16,Bottled Water 1.5L,84,326,,2025-12-16,INV-CON-00172,Emergency restock
Victoria Island,Continental Foods & Supplies,2024-08-18,Red Bull Energy Drink 250ml,22,1493,BTH2024080032,2026-02-18,INV-CON-00039,Event stock up
Lekki,Metro Wholesale Company,2024-08-19,Ciroc Vodka 750ml,12,21537,,2027-08-19,INV-MET-00065,
Lekki,Galaxy Beverages Distributors,2024-08-21,Red Bull Energy Drink 250ml,16,1179,,2025-09-21,INV-GAL-00203,
Lekki,Galaxy Beverages Distributors,2024-08-22,Ice Cubes 5kg Bag,10,1453,BTH2024080156,,INV-GAL-00197,Promotional stock
Lekki,Premium Drinks Nigeria Ltd,2024-08-23,Monster Energy Drink 500ml,9,1766,,2025-12-23,INV-PRE-00013,Promotional stock
Victoria Island,Metro Wholesale Company,2024-08-24,Chivas Regal 12 Year 750ml,22,20527,,2027-10-24,,Event stock up
Lekki,Premium Drinks Nigeria Ltd,2024-08-24,Guinness Stout 330ml,88,971,BTH2024080144,2025-06-24,INV-PRE-00186,Weekend preparation
Victoria Island,Continental Foods & Supplies,2024-08-24,Ciroc Vodka 750ml,12,24841,,2029-05-24,INV-CON-00307,
Victoria Island,Galaxy Beverages Distributors,2024-08-26,Heineken Beer 330ml,90,910,,2025-05-26,,Weekend preparation
Victoria Island,Continental Foods & Supplies,2024-08-26,Lime Fresh 1kg,28,1834,BTH2024080132,,INV-CON-00168,
Lekki,Metro Wholesale Company,2024-08-26,Veuve Clicquot Champagne 750ml,4,65640,BTH2024080194,2028-06-26,INV-MET-00243,VIP event supplies
Victoria Island,Galaxy Beverages Distributors,2024-08-28,Star Lager Beer 600ml,58,741,BTH2024080074,2025-04-28,INV-GAL-00092,Monthly bulk order
Victoria Island,Metro Wholesale Company,2024-08-30,Schweppes Tonic Water 330ml,22,490,,2025-08-30,INV-MET-00108,Regular restock
Victoria Island,Continental Foods & Supplies,2024-08-30,Cocktail Napkins Pack,22,1066,BTH2024080214,,INV-CON-00261,Weekend preparation
Victoria Island,Continental Foods & Supplies,2024-08-31,Monster Energy Drink 500ml,20,1863,BTH2024080115,2026-07-31,INV-CON-00143,Event stock up
Victoria Island,Metro Wholesale Company,2024-08-31,Drinking Straws Pack 100,36,707,BTH2024080258,,,Promotional stock
Lekki,Continental Foods & Supplies,2024-09-03,Corona Beer 330ml,93,1179,,2025-08-03,INV-CON-00027,
Lekki,Galaxy Beverages Distributors,2024-09-03,Bottled Water 500ml,241,205,BTH2024090325,2026-05-03,INV-GAL-00378,
Lekki,Galaxy Beverages Distributors,2024-09-04,Schweppes Soda Water 330ml,15,499,BTH2024090073,2025-12-04,INV-GAL-00091,
Victoria Island,Continental Foods & Supplies,2024-09-04,Coca Cola 350ml,54,356,BTH2024090087,2026-03-04,INV-CON-00111,
Victoria Island,Galaxy Beverages Distributors,2024-09-04,Monster Energy Drink 500ml,21,1840,BTH2024090151,2026-05-04,INV-GAL-00191,Holiday preparation
Lekki,Metro Wholesale Company,2024-09-05,Ice Cubes 5kg Bag,16,1171,BTH2024090107,,INV-MET-00131,Regular restock
Lekki,Galaxy Beverages Distributors,2024-09-05,Ice Cubes 5kg Bag,16,1107,BTH2024090236,,INV-GAL-00287,
