Branch Name,Supplier Name,Received At,Inventory Item Name,Quantity,Cost Per Unit,Batch Number,Expiry Date,Invoice Number,Notes
Lekki,Metro Wholesale Company,2024-09-05,Monster Energy Drink 500ml,14,1740,BTH2024090261,2026-02-05,INV-MET-00313,Emergency restock
Lekki,Metro Wholesale Company,2024-09-07,Budweiser Beer 330ml,78,796,BTH2024090057,2025-08-07,INV-MET-00071,
Lekki,Galaxy Beverages Distributors,2024-09-07,Drinking Straws Pack 100,10,707,BTH2024090264,,INV-GAL-00317,Holiday preparation
Lekki,Premium Drinks Nigeria Ltd,2024-09-08,Hennessy VS 750ml,3,31158,BTH2024090340,2027-12-08,INV-PRE-00395,
Lekki,Continental Foods & Supplies,2024-09-10,Orange Juice 1L,17,1851,BTH2024090251,2025-05-10,INV-CON-00303,
Lekki,Metro Wholesale Company,2024-09-11,Jack Daniels 750ml,6,16388,BTH2024090045,2028-09-11,,Event stock up
Lekki,Continental Foods & Supplies,2024-09-11,Chivas Regal 12 Year 750ml,20,20843,BTH2024090152,2029-07-11,INV-CON-00192,
Victoria Island,Galaxy Beverages Distributors,2024-09-11,Absolut Vodka 750ml,14,12263,BTH2024090281,2028-10-11,INV-GAL-00328,Holiday preparation
Victoria Island,Galaxy Beverages Distributors,2024-09-13,Heineken Beer 330ml,31,955,BTH2024090064,2025-05-13,INV-GAL-00078,Regular restock
Lekki,Galaxy Beverages Distributors,2024-09-13,Hennessy VS 750ml,9,27977,BTH2024090160,2028-02-13,INV-GAL-00201,
Lekki,Metro Wholesale Company,2024-09-13,Hennessy VS 750ml,6,32275,BTH2024090315,2028-04-13,INV-MET-00366,Monthly bulk order
Lekki,Galaxy Beverages Distributors,2024-09-14,Fanta Orange 350ml,116,348,BTH2024090276,2026-05-14,,
Lekki,Continental Foods & Supplies,2024-09-15,Fanta Orange 350ml,85,362,BTH2024090083,2026-03-15,INV-CON-00107,Regular restock
Lekki,Galaxy Beverages Distributors,2024-09-15,Ciroc Vodka 750ml,13,24289,BTH2024090129,2028-03-15,INV-GAL-00164,Holiday preparation
Victoria Island,Galaxy Beverages Distributors,2024-09-16,Johnnie Walker Red Label 750ml,4,10228,,2028-09-16,INV-GAL-00030,Monthly bulk order
Victoria Island,Galaxy Beverages Distributors,2024-09-16,Orange Juice 1L,14,2118,BTH2024090082,2025-03-16,INV-GAL-00106,VIP event supplies
Victoria Island,Premium Drinks Nigeria Ltd,2024-09-16,Moet Chandon Champagne 750ml,20,58042,,2027-09-16,INV-PRE-00240,VIP event supplies
Victoria Island,Premium Drinks Nigeria Ltd,2024-09-16,Bombay Sapphire Gin 750ml,11,20341,BTH2024090249,2029-03-16,,Weekend preparation
Lekki,Continental Foods & Supplies,2024-09-16,Ciroc Vodka 750ml,12,19515,BTH2024090293,2028-08-16,,Regular restock
Lekki,Galaxy Beverages Distributors,2024-09-17,Corona Beer 330ml,99,1106,,2025-07-17,INV-GAL-00100,Event stock up
Lekki,Metro Wholesale Company,2024-09-17,Absolut Vodka 750ml,20,9945,BTH2024090120,2028-08-17,INV-MET-00151,VIP event supplies
Lekki,Galaxy Beverages Distributors,2024-09-18,Cranberry Juice 1L,5,2260,,2025-05-18,INV-GAL-00094,
Lekki,Premium Drinks Nigeria Ltd,2024-09-18,Absolut Vodka 750ml,3,13001,BTH2024090183,2029-05-18,INV-PRE-00229,VIP event supplies
Victoria Island,Premium Drinks Nigeria Ltd,2024-09-18,Fanta Orange 350ml,51,292,BTH2024090279,2026-03-18,INV-PRE-00326,
Lekki,Continental Foods & Supplies,2024-09-22,Cranberry Juice 1L,13,2326,BTH2024090210,2025-06-22,INV-CON-00257,
Victoria Island,Metro Wholesale Company,2024-09-23,Ciroc Vodka 750ml,21,24793,,2027-11-23,,Holiday preparation
Victoria Island,Continental Foods & Supplies,2024-09-23,Pineapple Juice 1L,18,1786,BTH2024090303,2025-06-23,INV-CON-00352,Promotional stock
Lekki,Metro Wholesale Company,2024-09-25,Lime Fresh 1kg,14,1647,BTH2024090269,,,
Lekki,Metro Wholesale Company,2024-09-26,Red Bull Energy Drink 250ml,12,1335,BTH2024090002,2026-08-26,INV-MET-00003,Monthly bulk order
Lekki,Continental Foods & Supplies,2024-09-26,Johnnie Walker Black Label 750ml,4,22671,,2028-07-26,INV-CON-00080,Emergency restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-09-26,Johnnie Walker Black Label 750ml,21,21162,,2029-04-26,INV-PRE-00214,
Victoria Island,Continental Foods & Supplies,2024-09-28,Johnnie Walker Red Label 750ml,8,12013,,2027-09-28,,Weekend preparation
Lekki,Premium Drinks Nigeria Ltd,2024-09-28,Bacardi White Rum 750ml,14,9068,BTH2024090274,2028-10-28,,
Lekki,Galaxy Beverages Distributors,2024-10-01,Hennessy VS 750ml,19,31644,,2029-01-01,INV-GAL-00011,
Victoria Island,Premium Drinks Nigeria Ltd,2024-10-01,Ice Cubes 5kg Bag,14,1167,,,INV-PRE-00134,Event stock up
Victoria Island,Galaxy Beverages Distributors,2024-10-01,Corona Beer 330ml,91,1238,BTH2024100241,2025-04-01,INV-GAL-00293,Regular restock
Lekki,Metro Wholesale Company,2024-10-03,Fanta Orange 350ml,67,311,,2026-01-03,INV-MET-00057,Weekend preparation
Lekki,Premium Drinks Nigeria Ltd,2024-10-03,Monster Energy Drink 500ml,6,1388,,2025-10-03,INV-PRE-00155,Monthly bulk order
Lekki,Premium Drinks Nigeria Ltd,2024-10-03,Red Bull Energy Drink 250ml,17,1429,BTH2024100255,2026-09-03,INV-PRE-00306,Event stock up
Lekki,Galaxy Beverages Distributors,2024-10-04,Corona Beer 330ml,56,1140,BTH2024100093,2025-04-04,,VIP event supplies
Victoria Island,Metro Wholesale Company,2024-10-04,Cocktail Napkins Pack,14,825,BTH2024100237,,INV-MET-00288,
Victoria Island,Galaxy Beverages Distributors,2024-10-04,Johnnie Walker Red Label 750ml,16,10864,,2028-10-04,,Regular restock
Lekki,Metro Wholesale Company,2024-10-04,Cocktail Napkins Pack,10,896,BTH2024100257,,INV-MET-00309,
Victoria Island,Metro Wholesale Company,2024-10-05,Schweppes Soda Water 330ml,8,440,BTH2024100069,2026-01-05,INV-MET-00085,Monthly bulk order
Victoria Island,Premium Drinks Nigeria Ltd,2024-10-05,Drinking Straws Pack 100,32,662,BTH2024100102,,INV-PRE-00123,Monthly bulk order
Victoria Island,Galaxy Beverages Distributors,2024-10-05,Cocktail Napkins Pack,13,877,,,INV-GAL-00138,Emergency restock
Victoria Island,Continental Foods & Supplies,2024-10-06,Fanta Orange 350ml,35,344,,2026-06-06,INV-CON-00028,Holiday preparation
Lekki,Continental Foods & Supplies,2024-10-06,Disposable Cups Pack 50,25,1785,BTH2024100245,,INV-CON-00298,
Victoria Island,Galaxy Beverages Distributors,2024-10-07,Smirnoff Vodka 750ml,9,8805,BTH2024100135,2029-06-07,,Event stock up
Victoria Island,Metro Wholesale Company,2024-10-07,Gordon's Gin 750ml,18,9919,BTH2024100319,2027-10-07,INV-MET-00372,Emergency restock
Victoria Island,Metro Wholesale Company,2024-10-08,Orange Juice 1L,6,1895,BTH2024100006,2025-05-08,INV-MET-00010,Weekend preparation
Victoria Island,Metro Wholesale Company,2024-10-08,Bottled Water 1.5L,184,367,,2026-02-08,INV-MET-00284,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-10-08,Schweppes Tonic Water 330ml,14,561,BTH2024100254,2025-11-08,INV-PRE-00305,
Victoria Island,Metro Wholesale Company,2024-10-08,Gordon's Gin 750ml,15,9509,BTH2024100320,2028-12-08,INV-MET-00373,
Lekki,Premium Drinks Nigeria Ltd,2024-10-09,Absolut Vodka 750ml,9,11555,BTH2024100020,2028-09-09,INV-PRE-00022,Holiday preparation
Lekki,Continental Foods & Supplies,2024-10-10,Schweppes Tonic Water 330ml,12,526,BTH2024100275,2026-03-10,INV-CON-00324,Monthly bulk order
Lekki,Metro Wholesale Company,2024-10-12,Fanta Orange 350ml,46,313,BTH2024100007,2026-08-12,INV-MET-00012,Monthly bulk order
Lekki,Metro Wholesale Company,2024-10-12,Schweppes Tonic Water 330ml,21,478,,2025-11-12,INV-MET-00125,Holiday preparation
Lekki,Metro Wholesale Company,2024-10-12,Coca Cola 350ml,98,321,BTH2024100119,2026-05-12,,VIP event supplies
Victoria Island,Galaxy Beverages Distributors,2024-10-13,Hennessy VSOP 750ml,13,45506,BTH2024100089,2028-08-13,INV-GAL-00114,Emergency restock
Victoria Island,Galaxy Beverages Distributors,2024-10-13,Fanta Orange 350ml,82,367,BTH2024100091,2026-05-13,INV-GAL-00116,Monthly bulk order
Victoria Island,Metro Wholesale Company,2024-10-15,Patron Silver Tequila 750ml,8,39200,BTH2024100204,2028-02-15,,Regular restock
Victoria Island,Metro Wholesale Company,2024-10-16,Johnnie Walker Black Label 750ml,16,19977,BTH2024100262,2028-10-16,INV-MET-00314,
Victoria Island,Metro Wholesale Company,2024-10-17,Cranberry Juice 1L,8,2225,,2025-07-17,INV-MET-00036,Promotional stock
Lekki,Premium Drinks Nigeria Ltd,2024-10-17,Cranberry Juice 1L,4,2333,,2025-05-17,,
Lekki,Galaxy Beverages Distributors,2024-10-17,Hennessy VS 750ml,11,29409,,2029-05-17,,Emergency restock
Lekki,Continental Foods & Supplies,2024-10-17,Captain Morgan Spiced Rum 750ml,22,10218,BTH2024100338,2029-06-17,INV-CON-00392,Promotional stock
Lekki,Metro Wholesale Company,2024-10-18,Ice Cubes 5kg Bag,28,1469,BTH2024100167,,INV-MET-00207,Event stock up
Victoria Island,Metro Wholesale Company,2024-10-18,Star Lager Beer 600ml,92,606,BTH2024100289,2025-04-18,INV-MET-00337,Regular restock
Victoria Island,Galaxy Beverages Distributors,2024-10-19,Hennessy VSOP 750ml,7,48854,,2029-08-19,INV-GAL-00129,Holiday preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-10-21,Moet Chandon Champagne 750ml,10,52964,BTH2024100185,2029-07-21,INV-PRE-00231,Weekend preparation
Victoria Island,Metro Wholesale Company,2024-10-21,Monster Energy Drink 500ml,16,1554,BTH2024100227,2025-12-21,,Promotional stock
Lekki,Premium Drinks Nigeria Ltd,2024-10-22,Star Lager Beer 600ml,50,568,,2025-06-22,INV-PRE-00046,
Victoria Island,Metro Wholesale Company,2024-10-22,Ice Cubes 5kg Bag,12,1164,BTH2024100072,,INV-MET-00089,Regular restock
Victoria Island,Metro Wholesale Company,2024-10-22,Sprite 350ml,115,372,BTH2024100078,2026-08-22,,
Lekki,Galaxy Beverages Distributors,2024-10-22,Chivas Regal 12 Year 750ml,22,15401,BTH2024100110,2028-12-22,,Monthly bulk order
Victoria Island,Continental Foods & Supplies,2024-10-22,Lime Fresh 1kg,27,1848,BTH2024100225,,,
Victoria Island,Metro Wholesale Company,2024-10-23,Johnnie Walker Black Label 750ml,9,17912,BTH2024100004,2029-05-23,INV-MET-00008,Emergency restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-10-23,Cocktail Napkins Pack,24,905,BTH2024100198,,INV-PRE-00248,
Victoria Island,Metro Wholesale Company,2024-10-23,Patron Silver Tequila 750ml,13,39183,BTH2024100234,2028-06-23,INV-MET-00282,Weekend preparation
Lekki,Premium Drinks Nigeria Ltd,2024-10-23,Bacardi White Rum 750ml,9,11207,BTH2024100345,2028-04-23,INV-PRE-00398,Promotional stock
Lekki,Premium Drinks Nigeria Ltd,2024-10-25,Bacardi White Rum 750ml,5,8403,BTH2024100176,2028-11-25,INV-PRE-00219,Monthly bulk order
Lekki,Galaxy Beverages Distributors,2024-10-26,Coca Cola 350ml,34,353,BTH2024100101,2025-11-26,INV-GAL-00122,Holiday preparation
Lekki,Galaxy Beverages Distributors,2024-10-27,Bottled Water 500ml,65,183,BTH2024100216,2026-01-27,INV-GAL-00263,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-10-27,Bottled Water 1.5L,173,308,BTH2024100230,2026-08-27,INV-PRE-00277,
Victoria Island,Continental Foods & Supplies,2024-10-28,Bombay Sapphire Gin 750ml,13,19812,BTH2024100250,2028-09-28,,VIP event supplies
Lekki,Galaxy Beverages Distributors,2024-10-30,Bottled Water 500ml,221,170,BTH2024100232,2026-03-30,INV-GAL-00278,Promotional stock
Lekki,Metro Wholesale Company,2024-11-04,Johnnie Walker Black Label 750ml,18,18834,BTH2024110247,2028-05-04,INV-MET-00300,
Lekki,Premium Drinks Nigeria Ltd,2024-11-05,Drinking Straws Pack 100,11,662,BTH2024110173,,INV-PRE-00216,Weekend preparation
Lekki,Continental Foods & Supplies,2024-11-05,Star Lager Beer 600ml,30,669,BTH2024110212,2025-05-05,INV-CON-00260,Holiday preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-11-06,Johnnie Walker Red Label 750ml,16,12737,BTH2024110067,2028-11-06,INV-PRE-00084,
Victoria Island,Galaxy Beverages Distributors,2024-11-07,Red Bull Energy Drink 250ml,8,1286,BTH2024110024,2026-05-07,,Event stock up
Lekki,Premium Drinks Nigeria Ltd,2024-11-08,Hennessy VS 750ml,20,26784,BTH2024110207,2028-11-08,INV-PRE-00253,
Victoria Island,Premium Drinks Nigeria Ltd,2024-11-10,Jose Cuervo Tequila 750ml,12,15347,,2029-07-10,INV-PRE-00399,Promotional stock
Victoria Island,Continental Foods & Supplies,2024-11-11,Ciroc Vodka 750ml,14,20136,BTH2024110075,2028-07-11,,
Victoria Island,Premium Drinks Nigeria Ltd,2024-11-11,Heineken Beer 330ml,29,1038,BTH2024110109,2025-07-11,INV-PRE-00133,
Lekki,Metro Wholesale Company,2024-11-12,Veuve Clicquot Champagne 750ml,7,56057,BTH2024110191,2029-03-12,INV-MET-00237,
Lekki,Metro Wholesale Company,2024-11-12,Grey Goose Vodka 750ml,8,23279,BTH2024110195,2029-08-12,,Emergency restock
Victoria Island,Galaxy Beverages Distributors,2024-11-12,Star Lager Beer 600ml,63,718,,2025-05-12,INV-GAL-00244,Weekend preparation
Lekki,Metro Wholesale Company,2024-11-13,Smirnoff Vodka 750ml,17,8233,BTH2024110165,2028-12-13,,Weekend preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-11-13,Bacardi White Rum 750ml,21,9369,,2027-11-13,INV-PRE-00387,Event stock up
Victoria Island,Premium Drinks Nigeria Ltd,2024-11-15,Chivas Regal 12 Year 750ml,7,18649,BTH2024110046,2028-08-15,INV-PRE-00056,Monthly bulk order
Victoria Island,Continental Foods & Supplies,2024-11-15,Veuve Clicquot Champagne 750ml,22,55255,BTH2024110163,2029-02-15,INV-CON-00204,Regular restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-11-15,Grey Goose Vodka 750ml,11,26323,BTH2024110336,2028-11-15,,Event stock up
Lekki,Galaxy Beverages Distributors,2024-11-16,Patron Silver Tequila 750ml,12,38694,BTH2024110282,2028-10-16,,Holiday preparation
Lekki,Continental Foods & Supplies,2024-11-17,Chivas Regal 12 Year 750ml,18,17091,,2029-08-17,INV-CON-00273,Monthly bulk order
Victoria Island,Galaxy Beverages Distributors,2024-11-18,Hennessy VS 750ml,5,30531,,2028-03-18,INV-GAL-00258,
Lekki,Metro Wholesale Company,2024-11-18,Chivas Regal 12 Year 750ml,18,20596,,2028-04-18,INV-MET-00329,
Lekki,Continental Foods & Supplies,2024-11-19,Corona Beer 330ml,73,1285,BTH2024110139,2025-09-19,INV-CON-00180,
Victoria Island,Metro Wholesale Company,2024-11-19,Cranberry Juice 1L,16,2061,,2025-05-19,INV-MET-00184,Monthly bulk order
Lekki,Metro Wholesale Company,2024-11-19,Coca Cola 350ml,104,321,,2026-09-19,INV-MET-00241,
Victoria Island,Metro Wholesale Company,2024-11-20,Heineken Beer 330ml,93,1064,BTH2024110128,2025-06-20,INV-MET-00162,Regular restock
Lekki,Continental Foods & Supplies,2024-11-20,Chivas Regal 12 Year 750ml,3,16202,,2029-06-20,,Emergency restock
Lekki,Continental Foods & Supplies,2024-11-22,Red Bull Energy Drink 250ml,11,1413,BTH2024110196,2026-07-22,INV-CON-00245,Holiday preparation
Lekki,Premium Drinks Nigeria Ltd,2024-11-23,Monster Energy Drink 500ml,22,1692,BTH2024110265,2026-02-23,,Emergency restock
Lekki,Continental Foods & Supplies,2024-11-25,Ice Cubes 5kg Bag,27,1262,BTH2024110022,,INV-CON-00025,Monthly bulk order
Victoria Island,Continental Foods & Supplies,2024-11-25,Veuve Clicquot Champagne 750ml,16,56536,BTH2024110085,2028-08-25,INV-CON-00109,Holiday preparation
Victoria Island,Galaxy Beverages Distributors,2024-11-25,Patron Silver Tequila 750ml,22,41084,BTH2024110268,2029-05-25,INV-GAL-00320,Promotional stock
Victoria Island,Metro Wholesale Company,2024-11-27,Fanta Orange 350ml,47,374,BTH2024110175,2026-05-27,,
Lekki,Metro Wholesale Company,2024-11-27,Drinking Straws Pack 100,19,564,BTH2024110179,,INV-MET-00222,Weekend preparation
Lekki,Galaxy Beverages Distributors,2024-11-29,Ice Cubes 5kg Bag,39,1374,,,,VIP event supplies
Lekki,Continental Foods & Supplies,2024-11-30,Schweppes Tonic Water 330ml,20,558,BTH2024110278,2025-12-30,INV-CON-00325,
Victoria Island,Metro Wholesale Company,2024-12-01,Orange Juice 1L,10,2219,,2025-06-01,INV-MET-00045,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-12-01,Captain Morgan Spiced Rum 750ml,22,10907,BTH2024120192,2028-09-01,INV-GAL-00238,Holiday preparation
Lekki,Continental Foods & Supplies,2024-12-01,Captain Morgan Spiced Rum 750ml,15,12349,,2028-10-01,,Event stock up
Lekki,Premium Drinks Nigeria Ltd,2024-12-02,Monster Energy Drink 500ml,15,1465,BTH2024120145,2026-05-02,,Monthly bulk order
Lekki,Galaxy Beverages Distributors,2024-12-03,Bottled Water 500ml,120,185,BTH2024120113,2026-06-03,INV-GAL-00140,Emergency restock
Lekki,Continental Foods & Supplies,2024-12-04,Absolut Vodka 750ml,8,10077,,2029-05-04,INV-CON-00058,
Lekki,Premium Drinks Nigeria Ltd,2024-12-05,Drinking Straws Pack 100,31,720,BTH2024120266,,INV-PRE-00318,Monthly bulk order
Lekki,Metro Wholesale Company,2024-12-05,Bacardi White Rum 750ml,14,10787,,2028-01-05,INV-MET-00350,
Victoria Island,Premium Drinks Nigeria Ltd,2024-12-06,Budweiser Beer 330ml,78,677,,2025-06-06,INV-PRE-00271,Regular restock
Lekki,Metro Wholesale Company,2024-12-06,Heineken Beer 330ml,65,955,,2025-11-06,INV-MET-00354,
Victoria Island,Metro Wholesale Company,2024-12-08,Fanta Orange 350ml,61,359,BTH2024120187,2026-07-08,INV-MET-00233,Holiday preparation
Victoria Island,Premium Drinks Nigeria Ltd,2024-12-10,Fanta Orange 350ml,40,289,BTH2024120217,2026-09-10,INV-PRE-00264,Regular restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-12-10,Schweppes Tonic Water 330ml,5,457,,2026-04-10,,Monthly bulk order
Lekki,Galaxy Beverages Distributors,2024-12-10,Guinness Stout 330ml,83,996,BTH2024120301,2025-10-10,,Monthly bulk order
Victoria Island,Metro Wholesale Company,2024-12-11,Schweppes Soda Water 330ml,7,420,BTH2024120181,2026-02-11,INV-MET-00224,Regular restock
Lekki,Metro Wholesale Company,2024-12-11,Johnnie Walker Red Label 750ml,17,12283,BTH2024120235,2029-06-11,INV-MET-00286,Event stock up
Victoria Island,Metro Wholesale Company,2024-12-12,Fanta Orange 350ml,28,299,BTH2024120130,2026-11-12,INV-MET-00165,Event stock up
Victoria Island,Metro Wholesale Company,2024-12-12,Bottled Water 1.5L,69,321,,2025-12-12,INV-MET-00269,
Lekki,Continental Foods & Supplies,2024-12-12,Pineapple Juice 1L,18,2035,BTH2024120297,2025-10-12,INV-CON-00345,
Victoria Island,Continental Foods & Supplies,2024-12-13,Monster Energy Drink 500ml,13,1568,BTH2024120097,2026-09-13,,
Victoria Island,Continental Foods & Supplies,2024-12-13,Jose Cuervo Tequila 750ml,14,15143,BTH2024120157,2028-04-13,INV-CON-00198,Event stock up
Victoria Island,Premium Drinks Nigeria Ltd,2024-12-13,Cocktail Napkins Pack,33,956,BTH2024120260,,INV-PRE-00312,Event stock up
Victoria Island,Premium Drinks Nigeria Ltd,2024-12-14,Chivas Regal 12 Year 750ml,17,19449,,2028-07-14,INV-PRE-00412,Promotional stock
Victoria Island,Metro Wholesale Company,2024-12-15,Schweppes Tonic Water 330ml,7,470,BTH2024120019,2025-12-15,,
Lekki,Continental Foods & Supplies,2024-12-15,Bombay Sapphire Gin 750ml,15,18024,BTH2024120138,2028-04-15,INV-CON-00179,Holiday preparation
Victoria Island,Galaxy Beverages Distributors,2024-12-15,Jose Cuervo Tequila 750ml,11,15781,,2028-06-15,,Promotional stock
Lekki,Continental Foods & Supplies,2024-12-17,Fanta Orange 350ml,114,349,,2026-05-17,INV-CON-00148,
Victoria Island,Metro Wholesale Company,2024-12-17,Schweppes Soda Water 330ml,20,419,BTH2024120140,2026-01-17,INV-MET-00181,
Lekki,Premium Drinks Nigeria Ltd,2024-12-17,Jack Daniels 750ml,11,15116,BTH2024120298,2028-11-17,INV-PRE-00346,Emergency restock
Lekki,Metro Wholesale Company,2024-12-17,Johnnie Walker Black Label 750ml,12,20920,,2028-10-17,,Holiday preparation
Lekki,Premium Drinks Nigeria Ltd,2024-12-17,Captain Morgan Spiced Rum 750ml,21,11910,BTH2024120311,2028-11-17,INV-PRE-00361,Weekend preparation
Lekki,Galaxy Beverages Distributors,2024-12-17,Cocktail Napkins Pack,21,862,BTH2024120347,,INV-GAL-00402,
Victoria Island,Continental Foods & Supplies,2024-12-18,Fanta Orange 350ml,108,337,,2026-06-18,,Weekend preparation
Victoria Island,Metro Wholesale Company,2024-12-19,Ciroc Vodka 750ml,3,21422,,2029-05-19,,Monthly bulk order
Lekki,Premium Drinks Nigeria Ltd,2024-12-19,Jack Daniels 750ml,20,15316,BTH2024120238,2029-10-19,INV-PRE-00289,
Lekki,Continental Foods & Supplies,2024-12-20,Johnnie Walker Black Label 750ml,3,18526,BTH2024120290,2029-08-20,INV-CON-00338,VIP event supplies
Lekki,Continental Foods & Supplies,2024-12-21,Johnnie Walker Red Label 750ml,19,13488,,2029-07-21,INV-CON-00171,Emergency restock
Lekki,Premium Drinks Nigeria Ltd,2024-12-21,Fanta Orange 350ml,28,290,BTH2024120161,2026-07-21,INV-PRE-00202,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-12-23,Coca Cola 350ml,69,366,BTH2024120049,2026-11-23,INV-PRE-00062,Holiday preparation
Victoria Island,Continental Foods & Supplies,2024-12-24,Orange Juice 1L,22,1819,,2025-10-24,INV-CON-00054,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-12-24,Gordon's Gin 750ml,8,8493,BTH2024120286,2029-07-24,INV-PRE-00334,Emergency restock
Victoria Island,Continental Foods & Supplies,2024-12-24,Bottled Water 500ml,220,218,BTH2024120294,2026-09-24,INV-CON-00341,Monthly bulk order
Lekki,Premium Drinks Nigeria Ltd,2024-12-25,Cocktail Napkins Pack,13,1033,BTH2024120061,,INV-PRE-00075,Emergency restock
Lekki,Continental Foods & Supplies,2024-12-25,Ciroc Vodka 750ml,18,25778,BTH2024120098,2029-06-25,INV-CON-00120,
Lekki,Metro Wholesale Company,2024-12-25,Cranberry Juice 1L,7,2605,BTH2024120154,2025-10-25,INV-MET-00195,Monthly bulk order
Lekki,Continental Foods & Supplies,2024-12-25,Red Bull Energy Drink 250ml,12,1403,BTH2024120342,2026-08-25,,
Lekki,Metro Wholesale Company,2024-12-26,Hennessy VSOP 750ml,10,47046,,2029-06-26,INV-MET-00141,Promotional stock
Lekki,Galaxy Beverages Distributors,2024-12-28,Ice Cubes 5kg Bag,37,1303,BTH2024120146,,INV-GAL-00187,Emergency restock
Lekki,Continental Foods & Supplies,2024-12-28,Ice Cubes 5kg Bag,31,1173,BTH2024120220,,INV-CON-00266,VIP event supplies
Victoria Island,Galaxy Beverages Distributors,2024-12-29,Smirnoff Vodka 750ml,14,7496,BTH2024120100,2028-04-29,,
Lekki,Continental Foods & Supplies,2024-12-29,Guinness Stout 330ml,98,1098,,2025-09-29,INV-CON-00367,Regular restock
Victoria Island,Galaxy Beverages Distributors,2024-12-29,Bottled Water 500ml,160,182,,2026-09-29,INV-GAL-00408,Monthly bulk order
Lekki,Premium Drinks Nigeria Ltd,2024-12-30,Veuve Clicquot Champagne 750ml,8,69936,,2029-11-30,INV-PRE-00209,Emergency restock
